ID,NAME,VALUE,DATE,DOUBLED_VALUE,SQUARED_VALUE
ID0001,ITEM1,480.0,01/31/2026,960.0,230400.0
ID0002,ITEM2,562.0,10/17/2025,1124.0,315844.0
ID0003,ITEM3,831.0,10/18/2025,1662.0,690561.0
ID0004,ITEM4,226.0,02/02/2026,452.0,51076.0
ID0005,ITEM5,265.0,10/29/2025,530.0,70225.0
ID0006,ITEM6,365.0,02/16/2026,730.0,133225.0
ID0007,ITEM7,344.0,03/10/2025,688.0,118336.0
ID0008,ITEM8,40.0,10/08/2025,80.0,1600.0
ID0009,ITEM9,68.0,11/08/2025,136.0,4624.0
ID0010,ITEM10,275.0,11/29/2025,550.0,75625.0
ID0011,ITEM11,414.0,09/24/2025,828.0,171396.0
ID0012,ITEM12,739.0,04/15/2025,1478.0,546121.0
ID0013,ITEM13,511.0,01/27/2026,1022.0,261121.0
ID0014,ITEM14,168.0,11/16/2025,336.0,28224.0
ID0015,ITEM15,995.0,10/23/2025,1990.0,990025.0
ID0016,ITEM16,699.0,03/05/2025,1398.0,488601.0
ID0017,ITEM17,737.0,06/17/2025,1474.0,543169.0
ID0018,ITEM18,954.0,03/02/2025,1908.0,910116.0
ID0019,ITEM19,333.0,10/13/2025,666.0,110889.0
ID0020,ITEM20,126.0,11/23/2025,252.0,15876.0
ID0021,ITEM21,317.0,09/11/2025,634.0,100489.0
ID0022,ITEM22,472.0,02/15/2026,944.0,222784.0
ID0023,ITEM23,135.0,12/11/2025,270.0,18225.0
ID0024,ITEM24,829.0,12/25/2025,1658.0,687241.0
ID0025,ITEM25,983.0,09/18/2025,1966.0,966289.0
ID0026,ITEM26,664.0,10/06/2025,1328.0,440896.0
ID0027,ITEM27,16.0,09/23/2025,32.0,256.0
ID0028,ITEM28,81.0,12/21/2025,162.0,6561.0
ID0029,ITEM29,837.0,04/29/2025,1674.0,700569.0
ID0030,ITEM30,917.0,12/26/2025,1834.0,840889.0
ID0031,ITEM31,235.0,03/30/2025,470.0,55225.0
ID0032,ITEM32,286.0,07/30/2025,572.0,81796.0
ID0033,ITEM33,882.0,08/16/2025,1764.0,777924.0
ID0034,ITEM34,774.0,12/06/2025,1548.0,599076.0
ID0035,ITEM35,212.0,10/08/2025,424.0,44944.0
ID0036,ITEM36,907.0,12/11/2025,1814.0,822649.0
ID0037,ITEM37,168.0,09/04/2025,336.0,28224.0
ID0038,ITEM38,774.0,11/20/2025,1548.0,599076.0
ID0039,ITEM39,197.0,01/28/2026,394.0,38809.0
ID0040,ITEM40,75.0,09/27/2025,150.0,5625.0
ID0041,ITEM41,192.0,01/06/2026,384.0,36864.0
ID0042,ITEM42,626.0,05/12/2025,1252.0,391876.0
ID0043,ITEM43,150.0,10/05/2025,300.0,22500.0
ID0044,ITEM44,222.0,07/14/2025,444.0,49284.0
ID0045,ITEM45,507.0,06/24/2025,1014.0,257049.0
ID0046,ITEM46,248.0,12/23/2025,496.0,61504.0
ID0047,ITEM47,464.0,01/19/2026,928.0,215296.0
ID0048,ITEM48,948.0,05/05/2025,1896.0,898704.0
ID0049,ITEM49,928.0,11/11/2025,1856.0,861184.0
ID0050,ITEM50,549.0,05/23/2025,1098.0,301401.0
